dataset,z_ini,z_fin,x_ini,x_fin,y_ini,y_fin,voidmean,rockmedian,sigla_campo,bacia,condition,formacao,direcao_amostra,klinkenberg,codigo_facies,permeabilidade_longitudinal_m_d,porosidade_perc,log_pixelquadrado,cod_8cl,cod_10cl,reservatorio,classperm,classporo,log_perm,quantiles4,quantiles5,quantiles10
/data/PPT3DARJS_P8603VH1_ANTES_P_32258nm.nc,80,1350,201,994,210,1003,8819.756533,1402.766048,PPT,CAMPOS(M),ANTES,RO,,,,,,,,,,,,," 8220., 9917.,10232.,10512.,59226."," 8220., 9840.,10113.,10346.,10570.,59226."," 8220., 9644., 9840., 9986.,10113.,10232.,10346.,10456.,10570.,10718.,
 59226."
/data/CP1502_64690_SUJA_AL_16120nm.nc,505,1515,477,1469,475,1467,4942.078801,2610.296114,CP,SERGIPE(T),SUJA,CPS,,,,,,,,,,,,," 2651., 7057., 7541., 8009.,65335."," 2651., 6911., 7369., 7712., 8137.,65335."," 2651., 6353., 6911., 7175., 7369., 7541., 7712., 7900., 8137., 8528.,
 65335."
/data/CP1502_64690_SUJA_AL_23021nm.nc,210,1120,244,927,222,905,3459.237433,3166.384353,CP,SERGIPE(T),SUJA,CPS,,,,,,,,,,,,," 2137., 6257., 6633., 7015.,63562."," 2137., 6115., 6505., 6763., 7139.,63562."," 2137., 5404., 6115., 6356., 6505., 6633., 6763., 6917., 7139., 7552.,
 63562."
/data/LL36A_V012820H_ANTES_P_43095nm.nc,150,1518,170,774,185,789,5917.706982,5076.674649,TUP,SANTOS,ANTES,BVE,VH1,TRUE,ETR,116,11,-4.955706325,ETR,ETR,HPQHPR,HPQ,HPR,2.064457989," 4019.,10554.,10999.,11244.,58985."," 4019.,10398.,10865.,11104.,11293.,58985."," 4019., 9708.,10398.,10678.,10865.,10999.,11104.,11197.,11293.,11416.,
 58985."
/data/SPS77A_F4664H_SUJA_P_40120nm.nc,565,1989,218,847,191,820,5276.259084,4481.894563,SPH,SANTOS,SUJA,BVE,,,,,,,,,,,,,"    0., 9344., 9861.,10158.,65321.","    0., 9126., 9709., 9986.,10218.,65321.","    0., 8274., 9126., 9497., 9709., 9861., 9986.,10100.,10218.,10365.,
 65321."
/data/BUZ2_602330_LIMPA_AL_22632nm.nc,80,1450,321,1486,315,1480,4434.079312,2695.352055,BUZ,SANTOS,LIMPA,ITP,,,RDS,0.459,7.6,-7.369521701,RDS,RDS,LPQHPR,LPQ,HPR,-0.338187314," 2612., 6889., 7169., 7431.,16757."," 2612., 6812., 7067., 7268., 7496.,16757."," 2612., 6567., 6812., 6954., 7067., 7169., 7268., 7373., 7496., 7667.,
 16757."
/data/PIR294AL_F010505H_ANTES_P_46100nm.nc,150,1814,158,722,157,721,4012.571127,3499.586576,PIR,ALAGOAS(TERRA),ANTES,,VH1,TRUE,,,,,,,,,,," 5848., 7427., 7533., 7650.,65123."," 5848., 7401., 7492., 7575., 7682.,65123."," 5848., 7336., 7401., 7450., 7492., 7533., 7575., 7623., 7682., 7771.,
 65123."
/data/SPS107B_570350_LIMPA_AL_35765nm.nc,145,1195,191,917,196,922,6719.683185,4042.476467,UIRA,SANTOS,LIMPA,BVE,,,CLD,0.167,7,-7.795309896,OUTROS,OUTROS,LPQHPR,LPQ,HPR,-0.777283529," 5235.,10350.,10726.,11078.,58908."," 5235.,10256.,10587.,10862.,11162.,58908."," 5235.,10006.,10256.,10435.,10587.,10726.,10862.,11002.,11162.,11379.,
 58908."
/data/BUZ43_586780_LIMPA_AL_32870nm.nc,170,1230,232,1030,235,1033,3334.798833,4449.59232,BUZ,SANTOS,LIMPA,BVE,,,,7.57,13.2,-6.147745979,,,LPQHPR,LPQ,HPR,0.87909588," 1805., 7394., 7766., 8041.,61230."," 1805., 7269., 7644., 7876., 8103.,61230."," 1805., 6847., 7269., 7492., 7644., 7766., 7876., 7984., 8103., 8260.,
 61230."
/data/RJS711_F9409H_LIMPA_P_38910nm.nc,20,1632,195,868,183,856,4082.22662,3327.134365,ATP,SANTOS,LIMPA,BVE,VH1,TRUE,ESF,24.6,16.5,-5.63445415,ESF,ESF,HPQHPR,HPQ,HPR,1.390935107," 1480., 7100., 7427., 7705.,61583."," 1480., 7008., 7311., 7537., 7768.,61583."," 1480., 6738., 7008., 7178., 7311., 7427., 7537., 7647., 7768., 7918.,
 61583."
